smiley,meaning
>-), Alien
O:), Angel
O:-), Angel
X(, Angry or Grumpy
>:-(, Angry or Grumpy
>:(, Angry or Grumpy
X-(, Angry or Grumpy
:42:, Answer to Everything
=D>, Applause
0-+, April
~X(, At Wits End
;;), Batting Eyelashes
b-(, Beat Up
:bz, Bee
:D, Big Grin
:-D, Big Grin
>:D<, Big Hug
o=>, Billy
"="">", Blushing
>:/, Bring it On
=((, Broken Heart
</3, Broken Heart
=:), Bug
:-c, Call Me
:-@, Chatterbox
~:>, Chicken
:putnam:, Chris Putnam
:O), Clown
:-/, Hmmm
O.o, Confused
:-??, Confused or I don't know
:-\, Confused or undecided
:\, Confused or undecided
:/, Confused or unsure
3:-O, Cow
+/'\, Cowbell
<):), Cowboy
V.v.V, Crab
:((, Crying
:'(, Crying
~o), Cup of Coffee
\:D/, Dancing
8->, Daydreaming
>:), Devil
3:), Devil
3:-), Devil
}:-), Devil
:-$, Do Not Tell Anyone
:o3, Dog
#-o, Doh!
=P~, Drooling
:-L, Frustrated
:P, Frustrated or Sticking Tongue Out
=P, Frustrated or Sticking Tongue Out
:-P, Frustrated or Sticking Tongue Out
;)), Giggle or hee hee
8-), Glasses
8), Glasses
B-), Sunglasses or cool
B), Glasses
%%-, Good luck or Four Leaf Clover
<3, Heart
o->, Hiro
:!!, Hurry Up
@-), Hypnotized
X_X, I Do Not Want to See
*-:), Idea
:-|, Indifferent
^#(^, It Was Not Me
:-*, Kiss
:*, Kiss
:-X, Kiss
:3, Kitty
:)), Laughing
:^o, Liar Liar
(Y), Like
L-), Loser
:x, Love Struck
$-), Money Eyes
:(|), Monkey
:{, Mustache
:-SS, Nail biting
:-B, Nerd
%-(, Not Listening
[-(, Not talking
^:)^, Not Worthy
:-j, Oh Go On
:)], On the Phone
^_^, Overjoyed
:v, Pacman
<:-P, Party
:)>-, Peace
"<("")", Penguin
>:P, Phbbbbt or upset
:@), Pig
:(:), Pig
:ar!, Pirate
~@~, Poop
[-o<, Praying
(~~), Pumpkin
/:), Raised Eyebrow
:|], Robot
[:|], Robot
\m/, Rocking
8-|, Sunglasses or cool
=)), Rolling on the Floor Laughing
@};-, Rose
:(, Sad or frown face
=(, Sad or frown face
:-(, Sad or frown face
:[, Sad or frown face
[-x, Shame on You
(^^^), Shark
:-o, Surprised or Shocked
:-&, Sick
:-<, Sigh
8-}, Silly
8-X, Skull
|-), Sleepy
:), Smile or happy face
=), Smile or happy face
:-), Smile or happy face
:], Smile or happy face
:>, Smug
-_-, Squinting
(*), Star
:|, Straight face
8|, Sunglasses or cool
B-|, Sunglasses or cool
B|, Sunglasses or cool
:-O, Surprised
:o, Surprised
:O, Surprised
=;, Talk to the Hand
:-?, Thinking
:-q, Thumbs Down
:-bd, Thumbs Up
:-t, Time Out
[..], Transformer
**==, United States Flag
>-:O, Upset
>.<, Upset
=D, Very Happy
:-w, Waiting
:-h, Wave
#:-S, Whew
":-""", Whistling
;^), Wink
;), Winking
;-), Winking
:-S, Worried
(:|, Yawn
>:O, Yelling
(%), Yin Yang
